Категория,Наименования,Количество,Цена закупа,Общая сумма,,
monitors,TV 43,1,4000,4000,,
phone,iphone 13 pro max,1,25000,25000,,
storage,ssd 2.5 120gb,19,1300,24700,,655985
storage,ssd 2.5 240gb,8,2000,16000,,
storage,nvme 256gb,26,2400,62400,,
storage,nvme 512gb,4,4000,16000,,
storage,nvme 128gb,1,1000,1000,,
storage,hdd 3.5 500gb,39,500,19500,,
storage,hdd 3.5 80-250,5,250,1250,,
storage,hdd 3.5 1tb,6,1500,9000,,
storage,hdd 3.5 2tb ,4,1500,6000,,
storage,hdd 3.5 3tb,1,1800,1800,,
storage,hdd 2.5 500gb,15,500,7500,,
storage,hdd 2.5 640gb,13,750,9750,,
storage,hdd 2.5 750gb,7,800,5600,,
ram,dimm DDR4 8gb,7,2000,14000,,
ram,dimm DDR4 8gb,2,3000,6000,,
ram,dimm  DDR4 4gb,16,750,12000,,
ram,dimm  DDR4 16gb,1,4000,4000,,
ram,dimm DDR3 4gb,12,150,1800,,
ram,dimm DDR3 8gb,3,700,2100,,
ram,dimm DDR3 2gb,13,50,650,,
ram,sodimmDDR4 4gb ,23,750,17250,,
ram,sodimm DDR4 8gb,5,2000,10000,,
ram,sodimm DDR3 4gb,29,250,7250,,
ram,sodimm DDR3 8gb,8,600,4800,,
ram,sodimm DDR4 16gb,5,4000,20000,,
ram,sodimm DDR2 2gb,9,150,1350,,
ram,sodimm DDR3 2gb,22,50,1100,,
printer,Принтер чеков,1,1000,1000,,
pc,lg моноблок,1,3500,3500,,
laptops,Dell Vostro 3520 32gb,1,25000,25000,,
laptops,Dell Vostro 3520 16gb,1,19000,19000,,
laptops,Lenovo 82TT,1,20000,20000,,
laptops,lenovo pentium,1,12000,12000,,
laptops,acer i3-10,1,8600,8600,,
laptops,Gateway,1,8000,8000,,
laptops,Китайский,1,3500,3500,,
laptops,Dell Latitude 7480,1,8500,8500,,
laptops,Планшет,1,4000,4000,,
laptops,Dell игровой,1,26500,26500,,
laptops,acer i3-10,1,12000,12000,,
laptops,acer i3-10u,1,4900,4900,,
laptops,Lenovo Gold,1,8000,8000,,
laptops,hasee,1,9000,9000,,
laptops,HP-15ec2xxx,1,23400,23400,,
laptops,Dell 3410,1,15000,15000,,
laptops,Redmi,1,19000,19000,,
monitors,Samsung 4k ,1,5000,5000,,
monitors,Samsung 27 full hd,1,3000,3000,,
monitors,Viewsonic,1,2500,2500,,
monitors,LG 22,1,1500,1500,,
monitors,15-17,3,300,900,,
internet,Коммукатор 24 порта,1,1200,1200,,
internet,tenda wifi router,1,300,300,,
internet,Коммукатор 24 порта GB,1,1200,1200,,
gpu,gt 640 2gb,1,750,750,,
gpu,gt 730 2gb,1,750,750,,
gpu,gf 8400 1gb,1,300,300,,
gpu,gt 220 1gb,1,300,300,,
gpu,gt 250 1gb,1,300,300,,
gpu,eah 6450 1gb,1,300,300,,
gpu,1050TI,1,4000,4000,,
gpu,p106 6gb,4,1500,6000,,
gpu,750 2gb,1,2000,2000,,
CPU ,i3 5,5,450,2250,,
CPU ,I3 2 ,5,200,1000,,
motheboard,1200  motherboard,2,3100,6200,,
motheboard,1150,2,1000,2000,,
motheboard,1151v1,3,1600,4800,,
motheboard,1151v2,1,2200,2200,,
CPU ,i5 6500,1,2200,2200,,
cases,office,5,100,500,,
power supply,offiice,2,350,700,,
power supply,gigabyte 550,1,2000,2000,,
power supply,650,1,1000,1000,,
motheboard,задняя часть,100,10,1000,,
accessories,кольца,10,50,500,,
fan,argb fan,18,150,2700,,
phone,зарядки,10,200,2000,,
accessories,wifi adapter,8,350,2800,,
accessories,usb 3.0 64gb,5,350,1750,,
accessories,audio adapter,2,50,100,,
accessories,cmos,15,20,300,,
accessories,thermalpaste 1g,9,35,315,,
accessories,webcam,3,620,1860,,
accessories,laptop bag,5,350,1750,,
accessories,keyboard stickers,75,30,2250,,
accessories,90*40,4,250,1000,,
accessories,keyboard rgb,3,450,1350,,
accessories,ajuzz keyboard,1,1500,1500,,
accessories,Подставка охлаждающая,1,500,500,,
accessories,phone charges,8,50,400,,
accessories,bluetooth adapter,4,50,200,,
accessories,molex to ...,20,40,800,,
accessories,wireless mouse,14,150,2100,,
accessories,keyboard,5,300,1500,,
accessories,optibay,12,130,1560,,
accessories,унивресальная зарядка,4,200,800,,
accessories,eu plug,5,30,150,,
accessories,aux 1to2,4,25,100,,
accessories,hdmi 1.5,12,80,960,,
accessories,vga,9,80,720,,
accessories,dvi to vga,5,130,650,,
accessories,thermalpaste 7g,5,90,450,,
accessories,dp,3,80,240,,
accessories,dvi ,7,150,1050,,
accessories,usb to print,8,60,480,,
accessories,mouse,18,120,2160,,
accessories,speakers,4,200,800,,
accessories,speakers rgb,3,250,750,,
fan,rgb cooler,5,400,2000,,
fan,argb controller,10,250,2500,,
accessories,sata,20,22,440,,
power supply,deepcool pf500x,2,2500,5000,,
fan,cpu v4 deepcool,2,1000,2000,,
cases,аквариум,2,1200,2400,,
cases,боковое стекло atx,2,1300,2600,,
accessories,power cable,43,50,2150,,
accessories,mousepad,30,50,1500,,
